Probe_ID,Symbol,Entrez_Gene_ID,Chromosome,Cytoband
ILMN_1761464,CD74,972,5,5q33.1c
ILMN_1761474,LOC654189,654189,,
ILMN_1761476,TTC3,7267,21,21q22.13a
ILMN_1761478,LOC648133,648133,,
ILMN_1761479,ZC3HC1,51530,7,7q32.2a
ILMN_1761486,C13orf34,79866,13,13q22.1a
ILMN_1761490,ZNF75,7626,X,Xq26.3a
ILMN_1761511,APOH,350,17,17q24.2a
ILMN_1761514,ALDH3B2,222,11,11q13.2a
ILMN_1761519,EIF4G2,1982,11,11p15.3e
ILMN_1761527,FAM131C,348487,1,1p36.13f
ILMN_1761531,SGPL1,8879,10,10q22.1c
ILMN_1761536,LOC136288,136288,7,7p12.3b
ILMN_1761540,SEMA3F,6405,3,3p21.31c-p21.31b
ILMN_1761551,FAT4,79633,4,4q28.1c
ILMN_1761560,PHF13,148479,1,1p36.31a
ILMN_1761566,C5orf32,84418,5,5q31.3a
ILMN_1761574,CHRM2,1129,7,7q33d
ILMN_1761577,STEAP3,55240,2,2q14.2b
ILMN_1761594,FAM35A,54537,10,10q23.2b
ILMN_1761598,PRDM9,56979,5,5p14.2a
ILMN_1761637,CNTD1,124817,17,17q21.31a
ILMN_1761646,PCDHGA10,56106,5,5q31.3c
ILMN_1761669,CYP2F1,1572,19,19q13.2b
ILMN_1761674,ITGB5,3693,,3q21.2a
ILMN_1761684,WNK2,65268,9,9q22.31b
ILMN_1761693,CALN1,83698,7,7q11.22c
ILMN_1761717,SLCO6A1,133482,5,5q21.1d
ILMN_1761721,VPS35,55737,16,16q11.2i
ILMN_1761722,ZNF579,163033,19,19q13.42c
ILMN_1761733,HLA-DMB,3109,6,6p21.32a
ILMN_1761762,C6orf141,135398,6,6p12.3b
ILMN_1761764,ALKBH7,84266,19,19p13.3a
ILMN_1761766,GPR25,2848,1,1q32.1b
ILMN_1761772,NUP155,9631,5,5p13.2b
ILMN_1761778,TNFSF8,944,9,9q33.1a
ILMN_1761782,RAMP3,10268,7,7p13c
ILMN_1761788,MOXD1,26002,6,6q23.2b
ILMN_1761789,CA7,766,16,16q22.1a
ILMN_1761790,LOC654056,654056,,
ILMN_1761793,APOL1,8542,22,22q12.3d
ILMN_1761797,CSTB,1476,21,21q22.3c
ILMN_1761801,LOC147804,NA,19,
ILMN_1761804,ALDH9A1,223,1,1q24.1a
ILMN_1761808,MCFD2,90411,2,2p21a
ILMN_1761812,DMD,1756,X,Xp21.2a-p21.1d
ILMN_1761820,EDARADD,128178,1,1q43a
ILMN_1761828,E2F4,1874,16,16q22.1a
ILMN_1761829,HK1,3098,10,10q21.3e
ILMN_1761833,SLC40A1,30061,2,2q32.2a
ILMN_1761834,LOC401525,401525,9,9q12h
ILMN_1761844,ZCCHC17,51538,1,1p35.2a
ILMN_1761850,ATRN,8455,20,20p13b
ILMN_1761851,CACNA1A,773,19,19p13.13b-p13.13a
ILMN_1761858,MID1,4281,X,Xp22.2
ILMN_1761865,LOC641704,641704,7,
ILMN_1761866,STOML3,161003,13,13q13.3d
ILMN_1761873,FCRL2,79368,1,1q23.1d
ILMN_1761875,SH3BGR,6450,21,21q22.2b
ILMN_1761882,C3orf14,57415,3,3p14.2b
ILMN_1761896,LOC654335,654335,19,
ILMN_1761903,KCNS1,3787,20,20q13.12b
ILMN_1761910,BDNF,627,11,11p14.1d
ILMN_1761911,SCYL1BP1,92344,1,1q24.2c
ILMN_1761912,MGAT1,4245,5,5q35.3f
ILMN_1761915,BRWD1,54014,21,21q22.2a-q22.2b
ILMN_1761917,LCN8,138307,9,9q34.3e
ILMN_1761921,IL12RB2,3595,1,1p31.3a
ILMN_1761922,LOC647037,647037,15,15q25.2a
ILMN_1761927,IL1F8,27177,2,2q13d
ILMN_1761938,RAC1,5879,7,7p22.1b
ILMN_1761939,TIPIN,54962,15,15q22.31c
ILMN_1761940,LOC651758,651758,,
ILMN_1761941,C4orf18,51313,4,4q32.1d
ILMN_1761945,FGFBP2,83888,4,4p15.32d
ILMN_1761946,PROM2,150696,2,2q11.1c
ILMN_1761950,LOC647444,647444,,
ILMN_1761961,CCDC90A,63933,6,6p23b
ILMN_1761963,C4orf29,80167,4,4q28.2a
ILMN_1761965,ZNF200,7752,16,16p13.3c
ILMN_1761968,PPP1R14A,94274,19,19q13.2a
ILMN_1761969,DERL2,51009,17,17p13.2b
ILMN_1761981,FAM96A,84191,15,15q22.31a
ILMN_1761987,OR9G4,283189,11,11q11c
ILMN_1761990,RASGEF1A,221002,10,10q11.21a
ILMN_1761993,PAIP2B,400961,2,2p13.3b
ILMN_1761994,SMAD5,4090,5,5q31.2a
ILMN_1761996,SFRS5,6430,14,14q24.2a
ILMN_1761999,C1orf168,199920,1,1p32.2c-p32.2b
ILMN_1762002,CSTF3,1479,11,11p13d
ILMN_1762003,SEC62,7095,3,3q26.2b
ILMN_1762018,FLJ32867,NA,,
ILMN_1762021,TRIM48,79097,11,11q11b
ILMN_1762024,TAAR9,134860,6,6q23.2b
ILMN_1762033,NAPEPLD,222236,7,7q22.1f
ILMN_1762046,ZNF551,90233,19,19q13.43b
ILMN_1762061,C21orf41,NA,21,
ILMN_1762071,C17orf80,55028,17,17q25.1a
ILMN_1762079,LOC650241,650241,,
ILMN_1762080,JMY,133746,5,5q14.1c
ILMN_1762090,OR1L6,392390,9,9q33.2b
ILMN_1762091,CATSPERB,79820,14,14q32.12a
ILMN_1762093,ABCC12,94160,16,16q12.1a
ILMN_1762095,TMTC4,84899,13,13q32.3c
ILMN_1762098,ZNF747,65988,16,16p11.2c
ILMN_1762100,LOC652805,652805,,
ILMN_1762103,WDR48,57599,3,3p22.2a
ILMN_1762106,MMP2,4313,16,16q12.2c
ILMN_1762115,CRYZL1,9946,21,21q22.11c
ILMN_1762134,ECHDC1,55862,6,6q22.33a
ILMN_1762139,CRB1,23418,1,1q31.3c
ILMN_1762142,CDCA7,83879,2,2q31.1e
ILMN_1762151,LOC126520,NA,19,
ILMN_1762155,FBXO40,51725,,3q13.33c
ILMN_1762167,GTDC1,79712,2,2q22.2a-q22.3a
ILMN_1762170,LOC441956,441956,,21q11.2b
ILMN_1762181,GRK4,2868,,4p16.3a
ILMN_1762185,LOC647366,647366,,
ILMN_1762188,GPR158L1,440435,,17q12c
ILMN_1762189,LOC387686,387686,10,
ILMN_1762192,KIF9,64147,3,3p21.31g
ILMN_1762204,C1orf150,148823,1,1q44e
ILMN_1762207,SGSM1,129049,22,22q11.23c
ILMN_1762210,HTR3B,9177,11,11q23.2a
ILMN_1762215,LOC441344,441344,,8p12e
ILMN_1762224,HPS3,84343,3,3q24f
ILMN_1762225,DDX49,54555,19,19p13.11b
ILMN_1762231,ZEB1,6935,10,10p11.22c
ILMN_1762233,EFCAB5,374786,17,17q11.2b-q11.2c
ILMN_1762235,LOC388923,388923,2,2p25.3b
ILMN_1762243,LOC727778,727778,1,
ILMN_1762253,PRAMEF19,645414,1,1p36.21c
ILMN_1762255,GSTM1,2944,1,1p13.3b
ILMN_1762260,C3,718,19,19p13.3a
ILMN_1762262,PKIA,5569,8,8q21.12a
ILMN_1762275,CSE1L,1434,20,20q13.13c
ILMN_1762281,DCTN3,11258,9,9p13.3c
ILMN_1762284,ASPRV1,151516,2,2p14a
ILMN_1762290,LRRC24,441381,8,8q24.3h
ILMN_1762292,LOC644873,644873,5,
ILMN_1762294,ADAMTSL4,54507,1,1q21.2b-q21.2c
ILMN_1762303,SYNJ1,8867,21,21q22.11b
ILMN_1762305,LOC154449,NA,6,
ILMN_1762308,LOC654191,654191,,
ILMN_1762312,FOXRED1,55572,11,11q24.2c
ILMN_1762316,CPSF3L,54973,1,1p36.33a
ILMN_1762319,SLC43A3,29015,11,11q12.1a
ILMN_1762327,DHRS12,79758,13,13q14.3c
ILMN_1762330,C1D,10438,2,2p14b
ILMN_1762337,7A5,346389,7,7p15.3e
ILMN_1762360,LOC221981,221981,7,7p21.3b
ILMN_1762400,OR52R1,119695,11,11p15.4c
ILMN_1762407,CABLES2,81928,20,20q13.33c
ILMN_1762409,PDCL2,132954,4,4q12d
ILMN_1762410,SLC22A2,6582,6,6q25.3f
ILMN_1762424,LOC644024,644024,2,
ILMN_1762426,DHFRL1,200895,3,3q11.2a
ILMN_1762436,UBB,7314,17,17p11.2i
ILMN_1762439,C19orf6,91304,19,19p13.3i
ILMN_1762440,LOC645210,645210,,11p15.1e
ILMN_1762445,ME3,10873,11,11q14.2a
ILMN_1762464,MBL2,4153,10,10q21.1a
ILMN_1762466,BBS4,585,15,15q24.1a
ILMN_1762482,LOC648481,648481,,
ILMN_1762506,FLJ16323,441390,9,9p21.2b
ILMN_1762508,C9orf72,203228,9,9p21.2a
ILMN_1762526,SMC1B,27127,22,22q13.31c
ILMN_1762528,LOC646332,646332,18,
ILMN_1762529,SLC12A8,84561,3,3q21.2b
ILMN_1762531,FGF9,2254,13,13q12.11c
ILMN_1762534,CXorf22,170063,X,Xp21.1b
ILMN_1762545,LOC158572,158572,X,Xp11.23a
ILMN_1762546,LOC646111,646111,9,
ILMN_1762549,ORAOV1,220064,11,11q13.2c
ILMN_1762561,PLA2G10,8399,16,16p13.12a
ILMN_1762573,LOC401630,NA,Y,
ILMN_1762582,ARNT,405,1,1q21.2c
ILMN_1762594,NOD2,64127,16,16q12.1c
ILMN_1762605,SERPINC1,462,1,1q25.1a
ILMN_1762606,AQP11,282679,11,11q14.1a
ILMN_1762608,KIAA1632,57724,18,18q12.3f-q21.1a
ILMN_1762615,KIAA0157,23172,10,10q26.13d
ILMN_1762622,FAM111B,374393,11,11q12.1c
ILMN_1762624,LOC641852,641852,,
ILMN_1762629,TMEM16J,338440,11,11p15.5d
ILMN_1762631,TSC2,7249,16,16p13.3e
ILMN_1762634,OR10K1,391109,1,1q23.1f
ILMN_1762639,MED11,400569,17,17p13.2c
ILMN_1762666,DHRS4,10901,14,14q11.2g
ILMN_1762670,C20orf70,140683,20,20q11.21c
ILMN_1762674,NUP43,348995,6,6q25.1a
ILMN_1762678,NMT1,4836,17,17q21.31d
ILMN_1762696,C14orf152,90050,14,14q32.13a
ILMN_1762701,DCAMKL3,85443,,3p22.2b
ILMN_1762711,KRTAP10-4,386672,21,21q22.3d
ILMN_1762712,HHEX,3087,10,10q23.33a
ILMN_1762713,C19orf59,199675,19,19p13.2e
ILMN_1762714,VGLL2,245806,6,6q22.2a
ILMN_1762718,CMTM4,146223,16,16q22.1a
ILMN_1762725,EIF3EIP,51386,22,22q13.1a-q13.1b
ILMN_1762735,EVC2,132884,4,4p16.1g
ILMN_1762741,GTDC1,79712,2,2q22.2a-q22.3a
ILMN_1762747,RPL15,6138,3,3p24.2b
ILMN_1762764,SH3BGRL2,83699,6,6q14.1c
ILMN_1762766,PTPRA,5786,20,20p13c
ILMN_1762769,POLR2J4,NA,,
ILMN_1762787,RNF26,79102,11,11q23.3e-q23.3f
ILMN_1762792,MAGED1,9500,X,Xp11.22b
ILMN_1762801,KLF12,11278,13,13q22.1b
ILMN_1762802,CNIH2,254263,11,11q13.1e
ILMN_1762803,RFXDC2,64864,,15q21.3c
ILMN_1762808,LOC651919,651919,,
ILMN_1762810,IL1RL2,8808,2,2q12.1a
ILMN_1762825,CANX,821,5,5q35.3e
ILMN_1762835,HELZ,9931,17,17q24.2a-q24.2b
ILMN_1762843,C9orf166,642968,9,9q34.2a
ILMN_1762858,LOC652259,652259,,
ILMN_1762861,HLA-F,3134,6,6p22.1a
ILMN_1762871,RNASE13,440163,14,14q11.2c
ILMN_1762876,DSCR4,10281,21,21q22.13b
ILMN_1762879,WDR21B,285429,4,4p13d
ILMN_1762883,ECE2,9718,3,3q27.1b
ILMN_1762888,FAM119A,151194,2,2q33.3c
ILMN_1762897,GPR113,165082,2,2p23.3b
ILMN_1762899,EGR1,1958,5,5q31.2c
ILMN_1762932,CHMP2A,27243,19,19q13.43c
ILMN_1762952,ARTN,9048,1,1p34.1f
ILMN_1762957,LOC648868,648868,,
ILMN_1762972,CHD9,80205,16,16q12.2a
ILMN_1762977,LOC441436,441436,,
ILMN_1762990,KIAA0141,9812,5,5q31.3c
ILMN_1762993,PIGV,55650,1,1p36.11a
ILMN_1762995,LOC642350,642350,9,9p24.3b
ILMN_1763000,CENTA2,55803,17,17q11.2c
ILMN_1763002,LOC730455,730455,,
ILMN_1763003,LOC643002,643002,22,
ILMN_1763007,HIAT1,64645,1,1p21.2a
ILMN_1763011,C7orf10,79783,7,7p14.1c
ILMN_1763018,PSG6,5675,19,19q13.31a
ILMN_1763027,CAMK2B,816,,7p13d
ILMN_1763036,CLCN6,1185,1,1p36.22a
ILMN_1763044,LOC645393,645393,14,
ILMN_1763047,NRXN2,9379,11,11q13.1b
ILMN_1763080,QARS,5859,3,3p21.31d
ILMN_1763083,MYRIP,25924,,3p22.1c
ILMN_1763091,C14orf43,91748,14,14q24.3a
ILMN_1763092,MCCD1,401250,6,6p21.33a
ILMN_1763104,TRAF4,9618,17,17q11.2a
ILMN_1763127,CCBP2,1238,3,3p22.1a
ILMN_1763129,XTP3TPA,79077,16,16p11.2c
ILMN_1763137,INVS,27130,9,9q31.1a
ILMN_1763144,NEU1,4758,6,6p21.32b
ILMN_1763147,NDUFB6,4712,9,9p21.1a
ILMN_1763162,DPH2,1802,1,1p34.1f
ILMN_1763184,RNF148,378925,7,7q31.32a
ILMN_1763187,PAK4,10298,19,19q13.2a
ILMN_1763196,WDR72,256764,15,15q21.3a
ILMN_1763198,STAT6,6778,12,12q13.3b
ILMN_1763200,DZIP3,9666,3,3q13.13a
ILMN_1763202,LOC441179,NA,6,
ILMN_1763207,BATF3,55509,1,1q32.3c
ILMN_1763208,ZNF10,7556,12,12q24.33d
ILMN_1763209,LOC653050,653050,Y,Yq11.1b
ILMN_1763216,LOC651609,651609,,
ILMN_1763228,MEF2D,4209,1,1q22d
ILMN_1763231,TTBK1,84630,6,6p21.1d
ILMN_1763260,HIF1A,3091,14,14q23.2a
ILMN_1763264,MRPL2,51069,6,6p21.1d
ILMN_1763265,CHMP1B,57132,18,18p11.21e
ILMN_1763267,ZFYVE28,57732,4,4p16.3b-p16.3a
ILMN_1763269,TNKS2,80351,10,10q23.32a-q23.32b
ILMN_1763279,PLSCR2,57047,3,3q24d
ILMN_1763297,KIAA0947,23379,5,5p15.32a
ILMN_1763309,GALR1,2587,18,18q23b
ILMN_1763310,LOC654260,654260,,
ILMN_1763311,C12orf39,80763,12,12p12.1e
ILMN_1763322,CCR3,1232,3,3p21.31i
ILMN_1763326,C5orf25,375484,5,5q35.2d
ILMN_1763328,GZF1,64412,20,20p11.21c
ILMN_1763333,TBX6,6911,16,16p11.2d
ILMN_1763344,ADCYAP1,116,18,18p11.32c
ILMN_1763347,PIK3CB,5291,3,3q22.3c
ILMN_1763352,LOC343927,343927,,
ILMN_1763359,PEG10,23089,,7q21.3b
ILMN_1763364,WHDC1,123720,15,15q25.2b
ILMN_1763365,FAM103A1,83640,15,15q25.2b
ILMN_1763371,RGS3,5998,9,9q32c
ILMN_1763374,LOC648585,648585,,
ILMN_1763380,LOC646458,646458,2,
ILMN_1763382,NPPB,4879,1,1p36.22a
ILMN_1763386,BID,637,22,22q11.21a
ILMN_1763390,ISL1,3670,5,5q11.2a
ILMN_1763398,FLJ45910,388512,19,19p13.12c-p13.12b
ILMN_1763400,LOC648362,648362,,
ILMN_1763401,C21orf58,54058,21,21q22.3f
ILMN_1763404,LOC653226,653226,10,10q23.32b
ILMN_1763408,CCBL2,56267,1,1p22.2c
ILMN_1763409,LRRC8D,55144,1,1p22.2b
ILMN_1763412,SPHKAP,80309,2,2q36.3c-q36.3d
ILMN_1763419,TOP1,7150,20,20q12b-q12c
ILMN_1763422,OR6C65,403282,12,12q13.2b
ILMN_1763433,TRIM9,114088,14,14q22.1c
ILMN_1763436,SETX,23064,9,9q34.13b
ILMN_1763437,CHIC1,53344,X,Xq13.2a-q13.2b
ILMN_1763442,KIAA1202,57477,X,Xp11.22c
ILMN_1763447,PLXNB2,23654,22,22q13.33b
ILMN_1763452,EVI2B,2124,17,17q11.2d
ILMN_1763455,VSTM1,284415,19,19q13.42a
ILMN_1763457,SGCD,6444,5,5q33.3a
ILMN_1763460,NHP2L1,4809,22,22q13.2a-q13.2b
ILMN_1763461,ALDH7A1,501,5,5q23.2e
ILMN_1763464,SLC25A42,284439,19,19p13.11b
ILMN_1763467,LY6G5C,80741,6,6p21.33a
ILMN_1763479,LOC652870,652870,,
ILMN_1763487,CTLA4,1493,2,2q33.2a
ILMN_1763491,CKMT1B,1159,15,15q15.3a
ILMN_1763500,GPR82,27197,X,Xp11.4a
ILMN_1763516,SPINK2,6691,4,4q12e
ILMN_1763520,SULT2B1,6820,19,19q13.32c
ILMN_1763521,KIAA1751,85452,1,1p36.33a
ILMN_1763523,HARS,3035,5,5q31.3b
ILMN_1763524,LZTS2,84445,10,10q24.31a
ILMN_1763529,LOC650254,650254,,
ILMN_1763537,LCTL,197021,15,15q22.31c
ILMN_1763539,IER3IP1,51124,18,18q21.1b
ILMN_1763540,PSME4,23198,2,2p16.2a
ILMN_1763556,LOC654000,654000,,
ILMN_1763558,RGN,9104,X,Xp11.3a
ILMN_1763560,NFKBID,84807,19,19q13.12a
ILMN_1763561,OSBPL6,114880,2,2q31.2b
ILMN_1763568,ZDHHC16,84287,10,10q24.1b
ILMN_1763587,TNMD,64102,X,Xq22.1b
ILMN_1763602,ZNF423,23090,16,16q12.1b-q12.1c
ILMN_1763603,C14orf24,283635,14,14q13.2a
ILMN_1763604,CACNB1,782,17,17q12c
ILMN_1763605,DIDO1,11083,20,20q13.33d
ILMN_1763609,SLC22A16,85413,6,6q21g
ILMN_1763612,TMEM132D,121256,12,12q24.32c-q24.33a
ILMN_1763626,LOC644299,644299,9,
ILMN_1763627,TNPO1,3842,5,5q13.2c
ILMN_1763628,LOC653188,653188,,5q13.2a
ILMN_1763634,PEX14,5195,1,1p36.22c
ILMN_1763637,KIAA0226,9711,3,3q29i
ILMN_1763638,BCAR3,8412,1,1p22.1b
ILMN_1763640,KIAA1602,57701,12,12q13.13a
ILMN_1763641,ZNF614,80110,19,19q13.33e
ILMN_1763654,DENND1B,163486,1,1q31.3c
ILMN_1763657,CXXC4,80319,4,4q24c
ILMN_1763663,FLJ20718,55027,16,16q12.1c
ILMN_1763666,ALDH3B2,222,11,11q13.2a
ILMN_1763670,TM2D1,83941,1,1p31.3d
ILMN_1763673,LOC651212,651212,,
ILMN_1763685,LOC339047,339047,16,16p13.11b
ILMN_1763688,C17orf49,124944,17,17p13.1d
ILMN_1763694,RSPRY1,89970,16,16q13c
ILMN_1763695,C9orf24,84688,9,9p13.3c
ILMN_1763704,RGS11,8786,16,16p13.3f
ILMN_1763712,FOXA2,3170,20,20p11.21c
ILMN_1763723,PTDSS2,81490,11,11p15.5d
ILMN_1763728,OR6C68,403284,12,12q13.2b
ILMN_1763730,APPL1,26060,3,3p14.3b
ILMN_1763732,KIAA0853,23091,13,13q14.12b
ILMN_1763739,SOLH,6650,16,16p13.3f
ILMN_1763740,RASGEF1C,255426,5,5q35.3e
ILMN_1763745,FLJ14166,79616,5,5q33.3d
ILMN_1763746,LOC651754,651754,,
ILMN_1763749,GUCA2A,2980,1,1p34.2b
ILMN_1763750,NPTX1,4884,17,17q25.3e
ILMN_1763751,LOC643626,643626,20,
ILMN_1763763,RIPK3,11035,14,14q12a
ILMN_1763765,RAD1,5810,5,5p13.2d
ILMN_1763767,LOC646596,646596,19,19p13.12a
ILMN_1763769,LOC644065,644065,5,5p15.33c
ILMN_1763775,DNAH8,1769,6,6p21.2b
ILMN_1763793,PPM1L,151742,3,3q26.1a
ILMN_1763823,LOC651612,651612,,
ILMN_1763828,MTF1,4520,1,1p34.3b
ILMN_1763834,APLP1,333,19,19q13.12a
ILMN_1763837,ANPEP,290,15,15q26.1b
ILMN_1763842,PTRH1,138428,9,9q34.11a
ILMN_1763843,CAPSL,133690,5,5p13.2c
ILMN_1763852,ACACB,32,12,12q24.11a-q24.11b
ILMN_1763869,BAI1,575,8,8q24.3e
ILMN_1763875,ABCF1,23,6,6p21.33b
ILMN_1763878,CDADC1,81602,13,13q14.2c
ILMN_1763882,LOC644634,644634,1,1q21.1e
ILMN_1763883,KRTAP19-3,337970,21,21q22.11a
ILMN_1763884,Magmas,51025,16,16p13.3b
ILMN_1763887,SFI1,9814,22,22q12.2c
ILMN_1763891,FLJ35258,284297,19,19q13.42c
ILMN_1763901,DSCR8,84677,21,21q22.13b
ILMN_1763907,C6orf173,387103,6,6q22.32b
ILMN_1763916,ACVR1B,91,12,12q13.13c
ILMN_1763941,LRRC49,54839,15,15q23b
ILMN_1763955,LOC653119,653119,8,
ILMN_1763960,LOC649162,649162,,
ILMN_1763972,TJP2,9414,9,9q21.11a
ILMN_1763975,FLJ44005,400797,1,1q25.2b
ILMN_1763989,SEC63,11231,6,6q21d
ILMN_1763997,FAM98B,283742,15,15q14d
ILMN_1763999,LOC441282,441282,,7q33b
ILMN_1764022,FXYD1,5348,19,19q13.12a
ILMN_1764029,FLJ40448,339059,16,16q24.3a
ILMN_1764030,CCL23,6368,17,17q12b
ILMN_1764034,XCR1,2829,3,3p21.31i
ILMN_1764036,P2RY14,9934,3,3q25.1b-q25.1c
ILMN_1764037,LOC653541,653541,4,4q35.2d
ILMN_1764043,TTL,150465,2,2q13d
ILMN_1764050,OR10H5,284433,19,19p13.12a
ILMN_1764052,EGR4,1961,2,2p13.2a
ILMN_1764061,F11,2160,4,4q35.2a
ILMN_1764070,DKFZp686J0529,388468,18,18p11.21b
ILMN_1764082,MBOAT1,154141,6,6p22.3c
ILMN_1764084,LOC650851,650851,,
ILMN_1764087,SYPL1,6856,7,7q22.2c
ILMN_1764090,AK3L1,205,1,1p31.3b
ILMN_1764091,R3HDM2,22864,12,12q13.3b
ILMN_1764095,LOC641785,641785,,
ILMN_1764096,CCBL1,883,9,9q34.11c
ILMN_1764098,TRNT1,51095,3,3p26.3a
ILMN_1764109,C1R,715,12,12p13.31d
ILMN_1764120,IGF2AS,51214,11,11p15.5a
ILMN_1764127,NPHP1,4867,2,2q13b
ILMN_1764153,LOC646036,646036,15,
ILMN_1764158,NLGN2,57555,17,17p13.1d
ILMN_1764163,LOC644330,644330,19,19q13.2c
ILMN_1764165,TRIM65,201292,17,17q25.1d
ILMN_1764166,BCKDHB,594,6,6q14.1d
ILMN_1764168,STXBP3,6814,1,1p13.3c
ILMN_1764175,GPD1,2819,12,12q13.13a
ILMN_1764177,JARID2,3720,6,6p23a-p22.3f
ILMN_1764185,CDC37L1,55664,9,9p24.1c
ILMN_1764186,LOC146517,146517,16,16q22.3a
ILMN_1764188,C9orf93,203238,9,9p22.3b-p22.3a
ILMN_1764201,MAP2,4133,2,2q34a-q34b
ILMN_1764207,P15RS,55197,18,18q12.2a
ILMN_1764216,OR5F1,338674,11,11q11c
ILMN_1764225,GAGE6,2578,X,Xp11.23b
ILMN_1764226,LOC642405,642405,8,
ILMN_1764228,DAB2,1601,5,5p13.1c
ILMN_1764230,GNPTG,84572,16,16p13.3e
ILMN_1764231,LMO3,55885,12,12p12.3d
ILMN_1764239,PMPCA,23203,9,9q34.3d
ILMN_1764243,PRO1768,29018,14,14q32.11a
ILMN_1764244,LOC255649,255649,11,11q12.1d
ILMN_1764261,TMEM128,85013,4,4p16.2b
ILMN_1764266,CKMT2,1160,5,5q14.1f
ILMN_1764271,NXPH1,30010,7,7p21.3d
ILMN_1764297,ARF6,382,14,14q22.1b
ILMN_1764301,LOC648639,648639,,
ILMN_1764308,LOC391429,391429,2,2q14.1b
ILMN_1764309,ADH1A,124,4,4q23b
ILMN_1764310,LOC647468,647468,,
ILMN_1764314,FGD1,2245,X,Xp11.22a
ILMN_1764320,C8orf58,541565,8,8p21.3a
ILMN_1764321,ACOT4,122970,14,14q24.3a
ILMN_1764323,LOC124512,124512,,17q25.2a
ILMN_1764329,C21orf59,56683,21,21q22.11b
ILMN_1764355,GAMT,2593,19,19p13.3i
ILMN_1764361,DUSP16,80824,12,12p13.2a-p13.1b
ILMN_1764362,LYAR,55646,4,4p16.2b
ILMN_1764364,FAM19A3,284467,1,1p13.2c
ILMN_1764369,LOC652342,652342,,
ILMN_1764380,GLTP,51228,12,12q24.11b
ILMN_1764383,MCOLN1,57192,19,19p13.2e
ILMN_1764396,HDAC4,9759,2,2q37.3d
ILMN_1764398,TUBE1,51175,6,6q21i
ILMN_1764402,FAM12B,64184,14,14q11.2b
ILMN_1764410,C22orf13,83606,22,22q11.23b
ILMN_1764414,SOS2,6655,14,14q22.1b
ILMN_1764415,ZNF585A,199704,19,19q13.12c
ILMN_1764423,LOC650458,650458,,
ILMN_1764431,COPS6,10980,7,7q22.1b-q22.1c
ILMN_1764436,LOC650227,650227,,
ILMN_1764455,LOC653520,653520,17,
ILMN_1764456,KIAA0329,9895,14,14q32.31c
ILMN_1764457,LOC339766,339766,,2q37.1d-q37.1e
ILMN_1764469,LOC651914,651914,,
ILMN_1764483,PSG2,5670,19,19q13.31a
ILMN_1764489,TBL2,26608,7,7q11.23b
ILMN_1764494,ATP5A1,498,18,18q21.1a
ILMN_1764495,LOC652741,652741,,
ILMN_1764496,LOC648476,648476,,
ILMN_1764500,C3orf10,55845,3,3p25.3b
ILMN_1764503,C21orf124,85006,21,21q22.3c
ILMN_1764508,PTK6,5753,20,20q13.33e
ILMN_1764512,OR4X1,390113,11,11p11.2a
ILMN_1764522,LMBR1,64327,7,7q36.3b-q36.3c
ILMN_1764528,LOC652515,652515,,
ILMN_1764541,LOC652783,652783,,
ILMN_1764549,UBE3A,7337,15,15q11.2e
ILMN_1764554,ADAM5,NA,,
ILMN_1764557,FIT1,161247,14,14q12a
ILMN_1764571,ARHGAP23,57636,17,17q12c
ILMN_1764573,XIST,NA,X,
ILMN_1764577,MFNG,4242,22,22q13.1a
ILMN_1764596,MPST,4357,22,22q12.3d
ILMN_1764605,FGF6,2251,12,12p13.32a
ILMN_1764607,UGT1A7,54577,2,2q37.1d
ILMN_1764609,PWWP2B,170394,10,10q26.3e
ILMN_1764613,OR52E8,390079,11,11p15.4c
ILMN_1764615,KIAA0692,23141,12,12q24.33d
ILMN_1764617,GPATCH8,23131,17,17q21.31c
ILMN_1764619,FLJ45244,400242,14,14q32.13b
ILMN_1764628,LYPLA2,11313,1,1p36.11d
ILMN_1764629,SLC39A14,23516,8,8p21.3a
ILMN_1764650,LOC202459,202459,6,6q25.3e
ILMN_1764654,LOC647993,647993,,
ILMN_1764690,NTS,4922,12,12q21.31e
ILMN_1764693,LOC653741,653741,17,
ILMN_1764694,ZFP14,57677,19,19q13.12b
ILMN_1764697,LOC441294,441294,7,7q35a
ILMN_1764704,KIAA0888,26049,5,5q13.3b
ILMN_1764709,MAFB,9935,20,20q12b
ILMN_1764714,LOC55908,55908,19,19p13.2b
ILMN_1764721,RPL8,6132,8,8q24.3h
ILMN_1764723,SH3PXD2B,285590,5,5q35.1e
ILMN_1764729,JAG2,3714,14,14q32.33c
ILMN_1764732,LOC652640,652640,,
ILMN_1764747,LIMD1,8994,3,3p21.31j
ILMN_1764749,GRB14,2888,,2q24.3b
ILMN_1764754,RAMP1,10267,2,2q37.3b
ILMN_1764756,LOC643258,643258,1,
ILMN_1764764,MUM1,84939,19,19p13.3i
ILMN_1764769,LOH11CR2A,4013,11,11q24.1c-q24.2a
ILMN_1764770,MGC15763,92106,3,3p24.3e
ILMN_1764778,NASP,4678,1,1p34.1b
ILMN_1764780,SVOP,55530,12,12q24.11a
ILMN_1764782,LOC619207,619207,10,10q26.3f
ILMN_1764788,TNFRSF1B,7133,1,1p36.22a
ILMN_1764794,PSMB2,5690,1,1p34.3e
ILMN_1764795,FMN2,56776,1,1q43d
